ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10280,0,0,0,0,0,0,0,0,0,0
10281,17,17,17,17,17,17,17,17,17,17
10282,15,0,0,0,0,0,0,0,9,31
10283,19,19,19,19,19,19,19,19,19,19
10284,14,14,14,14,14,14,14,14,14,14
10285,10,10,10,10,10,10,10,10,10,10
10286,0,0,0,0,29,0,0,0,24,0
10287,0,0,0,0,0,0,0,0,0,0
10288,22,0,0,0,0,0,0,0,0,8
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,0,0
10291,0,0,0,0,0,0,0,0,10,20
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,0,0,0,0,0,0,0,0,0,0
10295,24,0,0,19,24,0,29,0,0,0
10296,0,24,0,8,12,0,0,17,0,0
10297,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,0,0,17,0,12,0,7,16,13,0
10300,6,6,6,6,6,6,6,6,6,6
10301,0,0,0,0,0,0,0,0,0,0
10302,30,0,15,0,14,10,34,0,0,0
10303,24,24,24,24,24,24,24,24,24,24
10304,8,8,8,8,8,8,8,8,8,8
10305,0,0,0,13,0,0,0,0,0,0
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,16,0,18,16,0,0,0
10308,0,0,0,0,12,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,16
10312,0,0,0,0,10,0,0,0,0,0
10313,11,11,11,11,11,11,11,11,11,11
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,21,0
10316,14,14,14,14,14,14,14,14,14,14
10317,0,0,0,0,0,0,0,0,0,0
10318,22,22,22,22,22,22,22,22,22,22
10319,1,1,1,1,1,1,1,1,1,1
10320,0,0,0,0,0,0,0,0,0,0
10321,0,0,0,0,0,0,0,0,0,0
10322,0,0,22,0,0,0,0,0,0,0
10323,0,17,0,0,0,0,0,0,0,0
10324,0,0,0,0,0,0,0,0,0,0
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,23,23,23,23,23,23,23,23,23,23
10328,7,7,7,7,7,7,7,7,7,7
10329,15,15,15,15,15,15,15,15,15,15
10330,12,3,5,5,9,7,28,9,4,19
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,0,0,0,0,0,0,0,0,0,0
10334,0,0,0,0,0,0,0,0,0,0
10335,0,20,0,0,0,0,0,0,0,0
10336,0,0,0,6,0,0,8,0,0,0
10337,0,0,0,0,0,0,0,0,0,0
10338,0,0,0,0,0,0,0,0,0,0
10339,0,0,0,0,0,0,0,0,0,0
10340,21,21,21,21,21,21,21,21,21,21
10341,23,0,0,0,23,0,17,18,27,3
10342,0,0,0,0,0,0,0,0,0,0
10343,0,0,0,0,0,0,0,0,0,0
10344,8,8,8,8,8,8,8,8,8,8
10345,0,0,0,0,0,0,0,0,0,0
10346,19,19,19,19,19,19,19,19,19,19
10347,0,0,21,0,0,18,23,0,0,0
10348,0,10,10,7,17,6,0,10,38,0
10349,0,0,0,0,0,0,0,0,0,0
10350,15,9,6,6,7,8,17,39,14,17
10351,0,0,0,0,0,0,0,0,0,0
10352,0,0,0,0,0,0,0,0,0,0
10353,23,23,23,23,23,23,23,23,23,23
10354,27,27,27,27,27,27,27,27,27,27
10355,37,0,0,0,0,0,0,6,0,0
10357,19,6,0,0,0,19,0,9,15,0
10358,14,14,14,14,14,14,14,14,14,14
10359,0,0,0,0,0,0,0,0,0,0
10360,17,17,17,17,17,17,17,17,17,17
10361,0,19,14,6,0,0,0,0,0,0
10362,0,26,28,8,13,21,21,23,0,20
10363,0,0,0,0,0,0,0,0,0,0
10364,0,42,0,0,0,0,0,0,0,0
10365,3,3,3,3,3,3,3,3,3,3
10366,16,16,16,16,16,16,16,16,16,16
10367,4,14,22,0,0,27,30,8,0,0
10368,0,0,0,0,0,0,0,0,0,0
10369,0,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,0,0
10372,0,0,0,19,0,0,0,0,0,0
10373,0,17,0,0,0,0,0,0,0,0
10374,0,0,0,0,0,0,0,0,0,0
